Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
69	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	137999	44.237274	10.559851	51.954533	-22.994736	44.23733	10.558539	51.874725	-24.20093	-0.3534221	0.685785	9.126818	-7.445192	-44.422447	3.704156	915.9071459770203
70	419.5	139.43008	500.0	178.0	500.0	0.0	500.0	500.0	419.5	500.0	139999	44.332394	10.521151	51.71532	-8.647461	44.3325	10.519008	51.89054	-14.250924	-0.35420263	0.68385977	6.7907495	-7.017761	-44.51504	3.248086	929.9302718639374
71	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	141999	44.482555	10.396358	51.901108	-12.07142	44.48262	10.3945265	52.080532	-22.329332	-0.3576021	0.68333125	9.812756	-6.8780365	-44.667618	3.652604	944.5662562847137
72	424.2	115.03808	500.0	197.0	500.0	0.0	500.0	500.0	424.2	500.0	143999	44.558315	10.327754	51.76042	-6.9436965	44.558334	10.326691	51.86165	-8.338131	-0.3542768	0.6886051	4.565454	-7.3942366	-44.73573	4.2589803	958.39515209198
73	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	145999	44.5975	10.25468	51.973606	-20.76043	44.597504	10.253849	51.694736	-19.409662	-0.35882446	0.6754178	6.6565914	-7.891979	-44.77968	4.159263	972.2347421646118
74	439.6	120.799995	500.0	198.0	500.0	0.0	500.0	500.0	439.6	500.0	147999	44.65341	10.1879	51.750546	-13.405618	44.653553	10.18689	51.649914	-15.529	-0.3495773	0.68003184	5.968375	-6.3250575	-44.83098	3.9852254	986.1467258930206
75	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	149999	44.729286	10.076177	51.675102	-16.656958	44.729076	10.076013	51.79349	-36.656715	-0.35143793	0.6841916	7.2478185	-8.237059	-44.901836	4.253875	999.5520877838135
76	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	151999	44.753906	10.082137	51.752647	-23.060856	44.754066	10.080121	52.150074	-24.841446	-0.35627815	0.6730628	4.7604647	-7.388874	-44.930805	4.266868	1012.6847591400146
77	499.5	0.8660254	500.0	498.0	500.0	0.0	500.0	500.0	499.5	500.0	153999	44.84324	10.006573	51.613266	-27.1134	44.84342	10.004904	51.946022	-30.082771	-0.35419643	0.679096	6.7611504	-6.541304	-45.017212	3.7100196	1026.2904872894287
78	323.16666	96.89413	500.0	201.0	500.0	0.0	500.0	500.0	323.16666	500.0	155999	44.85563	9.981494	52.32981	-20.225729	44.855568	9.979708	51.835922	-20.559465	-0.3792391	0.6529178	5.2990136	-6.6693835	-45.016567	4.2347345	1039.5549838542938
79	344.16666	129.34761	500.0	152.0	500.0	0.0	500.0	500.0	344.16666	500.0	157999	44.808956	10.041607	51.901165	-20.09919	44.809166	10.039915	51.735317	-20.593481	-0.35473406	0.6699997	9.39278	-7.535819	-44.97042	5.1756406	1052.3766009807587
80	445.25	94.82978	500.0	281.0	500.0	0.0	500.0	500.0	445.25	500.0	159999	44.77426	10.0770035	51.651917	-26.48143	44.774162	10.075483	51.912228	-27.272469	-0.37293637	0.6578136	6.1880045	-6.917083	-44.938663	4.0132704	1066.7416124343872
81	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	161999	44.746853	10.089232	52.0438	-19.965593	44.746765	10.088124	51.9154	-18.671553	-0.37811083	0.6524312	5.2786684	-6.6628	-44.909977	4.8602557	1081.6426873207092
82	444.8	110.399994	500.0	224.0	500.0	0.0	500.0	500.0	444.8	500.0	163999	44.75109	9.983906	51.88361	-11.428871	44.750927	9.983996	51.945343	-13.268332	-0.38565394	0.6446755	14.305964	-7.908348	-44.913216	4.5844727	1097.6980710029602
83	372.6	128.05873	500.0	217.0	500.0	0.0	500.0	500.0	372.6	500.0	165999	44.778347	10.000702	51.533566	-7.6187806	44.778477	10.00108	51.625057	-8.124557	-0.3689715	0.6650022	8.883091	-7.3719406	-44.93556	3.7647307	1112.6852395534515
84	427.6	107.110405	500.0	224.0	500.0	0.0	500.0	500.0	427.6	500.0	167999	44.869904	9.916824	51.545856	-17.173595	44.86982	9.916135	51.66021	-17.990728	-0.3784015	0.66744405	9.294412	-8.195566	-45.036102	4.313419	1127.487262248993
85	457.5	73.61216	500.0	330.0	500.0	0.0	500.0	500.0	457.5	500.0	169999	44.972515	9.773079	51.619835	-19.576498	44.972557	9.771178	51.523193	-19.475405	-0.38915172	0.653756	9.752977	-6.6515374	-45.129185	4.9700346	1141.417748451233
86	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	171999	44.988846	9.730003	51.4869	-17.43677	44.988976	9.7292	51.44206	-23.334833	-0.3928659	0.6484709	11.173585	-7.4587374	-45.1432	4.3697376	1154.3756675720215
87	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	173999	45.042862	9.695411	51.53971	-11.773966	45.042667	9.694035	51.38773	-15.240095	-0.38923752	0.6522784	10.825737	-6.4928417	-45.198303	4.7020855	1169.2932937145233
88	385.4	141.1405	500.0	190.0	500.0	0.0	500.0	500.0	385.4	500.0	175999	45.136135	9.626905	51.30984	-15.173639	45.13636	9.625407	51.363056	-18.995054	-0.36859107	0.6604637	8.935016	-10.442966	-45.293736	4.902135	1183.6809554100037
